Core,DB Size,DB Organization,Column Size,Num Columns,Row Size,Time(Cycles),RME Enabled,Design
Rocket,27MB,row,4 bytes,2,16,37506600,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,4 bytes,2,16,25179898,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,4 bytes,2,16,18137986,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,4 bytes,2,32,43071565,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,4 bytes,2,32,25177960,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,4 bytes,2,32,18157536,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,4 bytes,2,64,54058586,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,4 bytes,2,64,25208830,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,4 bytes,2,64,18154350,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,4 bytes,2,128,54058586,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,4 bytes,2,128,25208830,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,4 bytes,2,128,18154350,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,4 bytes,2,128,55402306,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,4 bytes,2,128,25569895,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,4 bytes,2,128,18140782,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,4 bytes,2,256,55392957,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,4 bytes,2,256,25546416,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,4 bytes,2,256,18160695,FALSE,"16 Fetch Unit, 4 Rank"
