Core,DB Size,DB Organization,Column Size,Num Columns,Row Size,Time(Cycles),InstRet,ctrl-trapper,fetch-ctrl,fetch-full,fetch-mem,req-fetch,llc-access,llc-out,Design
Boom Prefetch,27MB,rme,1,3,64,11173483,16968808,0,2151,3714406,86433,0,157535,86640,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,1,3,64,16339987,15611581,0,0,0,0,0,617387,533983,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,1,3,64,13018891,15607430,0,0,0,0,0,172328,84939,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,2,3,64,11286146,16871557,0,1160,2858469,128516,0,190346,118814,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,2,3,64,16294344,15500083,0,0,0,0,0,616457,534218,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,2,3,64,13525817,15556424,0,0,0,0,0,212105,118276,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,3,64,11505974,16872135,0,2984,493290,164018,0,241505,171882,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,3,64,16343310,15500077,0,0,0,0,0,614030,535448,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,3,64,14961628,15590584,0,0,0,0,0,286209,181422,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,8,3,64,11836928,16862907,0,9074,211920,194566,0,329764,260349,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,8,3,64,16346368,15499964,0,0,0,0,0,613052,536133,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,8,3,64,17328432,15575787,0,0,0,0,0,410815,278559,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,16,3,64,13260186,16862565,14,33933,4947,220534,0,492237,431122,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,16,3,64,16160769,15499983,0,0,0,0,0,612647,535000,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,16,3,64,22077047,15564838,0,0,0,0,0,618616,458167,"16 Fetch Unit, 4 Rank"
