Core,DB Size,DB Organization,Column Size,Num Columns,Row Size,Time(Cycles),RME Enabled,Design
Rocket,27MB,row,1 bytes,3,64,74117288,FALSE,"16 Fetch Unit, 4 Rank,Prefetch"
Rocket,27MB,row,1 bytes,3,64,70710719,TRUE,"16 Fetch Unit, 4 Rank,Prefetch"
Rocket,27MB,col,1 bytes,3,64,56899327,FALSE,"16 Fetch Unit, 4 Rank,Prefetch"
Rocket,27MB,row,2 bytes,3,64,74123206,FALSE,"16 Fetch Unit, 4 Rank,Prefetch"
Rocket,27MB,row,2 bytes,3,64,71142340,TRUE,"16 Fetch Unit, 4 Rank,Prefetch"
Rocket,27MB,col,2 bytes,3,64,58349341,FALSE,"16 Fetch Unit, 4 Rank,Prefetch"
Rocket,27MB,row,4 bytes,3,64,74119971,FALSE,"16 Fetch Unit, 4 Rank,Prefetch"
Rocket,27MB,row,4 bytes,3,64,70787821,TRUE,"16 Fetch Unit, 4 Rank,Prefetch"
Rocket,27MB,col,4 bytes,3,64,59661064,FALSE,"16 Fetch Unit, 4 Rank,Prefetch"
Rocket,27MB,row,8 bytes,3,64,69688421,FALSE,"16 Fetch Unit, 4 Rank,Prefetch"
Rocket,27MB,row,8 bytes,3,64,68897369,TRUE,"16 Fetch Unit, 4 Rank,Prefetch"
Rocket,27MB,col,8 bytes,3,64,58220074,FALSE,"16 Fetch Unit, 4 Rank,Prefetch"
Rocket,27MB,row,16 bytes,3,64,85757382,FALSE,"16 Fetch Unit, 4 Rank,Prefetch"
Rocket,27MB,row,16 bytes,3,64,88217208,TRUE,"16 Fetch Unit, 4 Rank,Prefetch"
Rocket,27MB,col,16 bytes,3,64,67786015,FALSE,"16 Fetch Unit, 4 Rank,Prefetch"
