Core,DB Size,DB Organization,Column Size,Num Columns,Row Size,Time(Cycles),InstRet,ctrl-trapper,fetch-ctrl,fetch-full,fetch-mem,req-fetch,llc-access,llc-out,Design
Boom Prefetch,27MB,rme,1,3,64,23689426,16982173,0,1305606,912093,3980,0,155110,82594,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,1,3,64,34785567,15624573,0,0,0,0,0,623264,535843,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,1,3,64,21738408,15607747,0,0,0,0,0,166556,82347,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,2,3,64,24109578,16879613,0,1284748,417545,5386,0,187247,111437,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,2,3,64,34890004,15549246,0,0,0,0,0,623550,536230,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,2,3,64,22618996,15583601,0,0,0,0,0,209638,116526,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,3,64,25243203,16894044,0,1246597,7209,6648,0,239316,162269,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,3,64,34660598,15533111,0,0,0,0,0,620698,536500,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,3,64,24191294,15592346,0,0,0,0,0,272532,175189,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,8,3,64,27951926,16887166,0,1169534,324,3207,0,331960,247125,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,8,3,64,34663233,15533116,0,0,0,0,0,621936,536571,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,8,3,64,27229404,15616382,0,0,0,0,0,398538,275693,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,16,3,64,32521671,16899635,0,57027,0,3971,0,510710,413472,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,16,3,64,34910100,15541551,0,0,0,0,0,624346,536643,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,16,3,64,33047512,15582540,0,0,0,0,0,631128,456711,"16 Fetch Unit, 4 Rank"
