Core,DB Size,DB Organization,Column Size,Num Columns,Row Size,Time(Cycles),InstRet,ctrl-trapper,fetch-ctrl,fetch-full,fetch-mem,req-fetch,llc-access,llc-out,Design
Boom Prefetch,27MB,rme,1,3,64,30608352,16986131,0,0,3732373,91861,0,132086,83139,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,1,3,64,46590814,15657826,0,0,0,0,0,616637,535225,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,1,3,64,23109824,15613861,0,0,0,0,0,140980,83044,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,2,3,64,31430404,16904121,0,1,2679906,137500,0,163950,113990,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,2,3,64,46453595,15552897,0,0,0,0,0,615637,535581,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,2,3,64,24538074,15575736,0,0,0,0,0,183423,114352,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,3,64,33862440,16905958,0,1,0,179836,0,224319,165149,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,3,64,46577055,15546152,0,0,0,0,0,617490,536022,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,3,64,27826643,15600759,0,0,0,0,0,268804,171890,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,8,3,64,37536961,16900334,0,0,0,213332,0,320086,255546,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,8,3,64,46656305,15569103,0,0,0,0,0,619221,537061,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,8,3,64,35719078,15610431,0,0,0,0,0,403487,268663,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,16,3,64,46712056,16930272,0,0,0,238357,0,503653,430869,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,16,3,64,46527003,15546304,0,0,0,0,0,617477,536173,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,16,3,64,52223019,15625206,0,0,0,0,0,653572,455161,"16 Fetch Unit, 4 Rank"
