Core,DB Size,DB Organization,Column Size,Num Columns,Row Size,Time(Cycles),InstRet,ctrl-trapper,fetch-ctrl,fetch-full,fetch-mem,req-fetch,llc-access,llc-out,Design
Boom Prefetch,27MB,rme,1,3,64,37145900,16993781,0,1304413,953081,2928,0,134591,81878,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,1,3,64,46670599,15662810,0,0,0,0,0,618160,536130,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,1,3,64,23073406,15607274,0,0,0,0,0,139594,82492,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,2,3,64,38864239,16924819,0,1283455,409275,4646,0,167884,110746,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,2,3,64,46502206,15559650,0,0,0,0,0,617361,535685,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,2,3,64,24603558,15586185,0,0,0,0,0,185654,114619,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,3,64,42848695,16945608,0,1242500,0,6858,0,224653,159162,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,3,64,46569721,15551231,0,0,0,0,0,615749,536569,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,3,64,27805469,15610552,0,0,0,0,0,266493,172640,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,8,3,64,50117812,16924663,0,1160736,0,8350,0,324305,245877,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,8,3,64,46560560,15544773,0,0,0,0,0,617621,536455,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,8,3,64,35789367,15615128,0,0,0,0,0,405593,270143,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,16,3,64,67155846,16959980,0,0,0,9191,0,505643,418670,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,16,3,64,46524542,15551231,0,0,0,0,0,616586,535666,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,16,3,64,52198675,15617891,0,0,0,0,0,653292,454365,"16 Fetch Unit, 4 Rank"
