Core,DB Size,DB Organization,Column Size,Num Columns,Row Size,Time(Cycles),InstRet,ctrl-trapper,fetch-ctrl,fetch-full,fetch-mem,req-fetch,llc-access,llc-out,Design
Boom Prefetch,27MB,rme,4,1,64,5476667,8908336,0,911,77872,85304,0,83360,63737,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,1,64,12252658,8424495,0,0,0,0,0,507258,477096,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,1,64,4790688,7532592,0,0,0,0,0,80807,61535,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,2,64,8866747,12888620,0,1795,235038,129350,0,162464,118356,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,2,64,13725143,11967003,0,0,0,0,0,558589,509400,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,2,64,9501021,11518732,0,0,0,0,0,170977,119986,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,3,64,11437754,16855678,0,2331,476168,161941,0,239214,170936,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,3,64,16361139,15515962,0,0,0,0,0,614958,536667,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,3,64,14958368,15567253,0,0,0,0,0,285168,181914,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,4,64,14706554,20863056,0,2314,706873,201410,0,320898,226666,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,4,64,20288506,19061432,0,0,0,0,0,670785,566354,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,4,64,23516672,19628741,0,0,0,0,0,434449,235686,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,5,64,17691810,24840677,0,2421,965772,241112,0,396513,278611,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,5,64,24278811,22644600,0,0,0,0,0,726903,594730,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,5,64,33481480,23645244,0,0,0,0,0,896917,293770,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,6,64,20807216,28830102,0,3325,1254957,281646,0,478770,333172,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,6,64,28330767,26289296,0,0,0,0,0,782554,623328,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,6,64,47263744,27700320,0,0,0,0,0,1323746,357100,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,7,64,23934900,32966901,0,1420,1564847,316681,0,560338,387965,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,7,64,32370801,29892252,0,0,0,0,0,837284,649252,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,7,64,64693603,31743658,0,0,0,0,0,1794458,426340,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,8,64,27125711,36923340,0,1706,1831938,353397,0,636779,431228,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,8,64,37230989,33471229,0,0,0,0,0,886227,675888,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,8,64,89001149,35803019,0,0,0,0,0,2435059,499794,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,9,64,30279280,40855378,0,2133,2096065,396367,0,711201,493506,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,9,64,40951595,37026425,0,0,0,0,0,940448,703200,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,9,64,112805042,39843364,0,0,0,0,0,3072222,573141,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,10,64,33660253,45078335,0,4488,2384451,441263,0,806547,545624,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,10,64,45520872,40652463,0,0,0,0,0,1004980,729509,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,10,64,139062986,43904925,0,0,0,0,0,3763225,657228,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,11,64,36664726,49053369,0,3273,2651085,471607,0,873770,601488,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,11,64,49224383,44206012,0,0,0,0,0,1044893,753350,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,11,64,166101411,47959149,0,0,0,0,0,4437736,748131,"16 Fetch Unit, 4 Rank"
