Core,DB Size,DB Organization,Column Size,Num Columns,Row Size,Time(Cycles),InstRet,ctrl-trapper,fetch-ctrl,fetch-full,fetch-mem,req-fetch,llc-access,llc-out,Design
Boom Prefetch,27MB,rme,4,1,64,8525996,8917546,0,0,0,87930,0,79546,62253,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,1,64,19113373,8429830,0,0,0,0,0,506311,473714,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,1,64,5702051,7532590,0,0,0,0,0,74792,59686,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,2,64,14721970,12903227,0,4,0,131350,0,152298,115338,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,2,64,20833375,11981622,0,0,0,0,0,559264,502482,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,2,64,12043550,11535946,0,0,0,0,0,164158,117322,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,3,64,20520532,16876349,0,16,0,172392,0,226356,166180,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,3,64,23956733,15515304,0,0,0,0,0,613802,524670,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,3,64,18849927,15572346,0,0,0,0,0,281015,175865,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,4,64,26834143,20886176,0,42,0,211544,0,297607,219515,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,4,64,26028496,19068117,0,0,0,0,0,662001,555310,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,4,64,28094528,19631451,0,0,0,0,0,440804,233188,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,5,64,32754687,24868999,0,39,0,252624,0,375226,271133,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,5,64,30232384,22658459,0,0,0,0,0,716550,583195,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,5,64,40073971,23670172,0,0,0,0,0,906640,295435,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,6,64,38729086,28845708,0,23,0,291783,0,442697,322305,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,6,64,34107078,26304405,0,0,0,0,0,759799,606934,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,6,64,54580482,27730637,0,0,0,0,0,1330275,355298,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,7,64,45062951,33008200,0,17,0,333144,0,526918,376552,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,7,64,46299952,29913924,0,0,0,0,0,816105,640526,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,7,64,72598095,31756873,0,0,0,0,0,1802974,418444,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,8,64,50510854,36966234,0,16,21,372822,0,592725,427875,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,8,64,50998052,33490276,0,0,0,0,0,851676,663577,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,8,64,96246483,35802752,0,0,0,0,0,2437829,484688,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,9,64,57202712,40887927,0,15,0,411603,0,670572,479576,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,9,64,50136566,37038613,0,0,0,0,0,904871,687330,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,9,64,119055194,39877596,0,0,0,0,0,3079019,558572,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,10,64,63302973,45127418,0,56,0,454144,0,744740,534076,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,10,64,54626364,40644419,0,0,0,0,0,942492,709015,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,10,64,144439184,43911909,0,0,0,0,0,3747289,636963,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,11,64,69411981,49043017,0,45,55,493662,0,826667,586138,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,11,64,57958826,44206426,0,0,0,0,0,997552,733064,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,11,64,170798424,47959199,0,0,0,0,0,4434720,725839,"16 Fetch Unit, 4 Rank"
