Core,DB Size,DB Organization,Column Size,Num Columns,Row Size,Time(Cycles),InstRet,ctrl-trapper,fetch-ctrl,fetch-full,fetch-mem,req-fetch,llc-access,llc-out,Design
Boom Prefetch,27MB,rme,4,1,64,10502144,8900241,0,75,12215,90252,0,81057,61421,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,1,64,20424958,8435269,0,0,0,0,0,509412,477323,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,1,64,9537576,7540799,0,0,0,0,0,79735,60853,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,2,64,16500846,12900213,0,101,36405,135273,0,160184,116138,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,2,64,26474573,11983612,0,0,0,0,0,565252,508453,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,2,64,15573735,11534666,0,0,0,0,0,172730,117332,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,3,64,25028620,16899821,0,56,46659,176756,0,240271,171221,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,3,64,34638071,15525072,0,0,0,0,0,620946,535617,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,3,64,24168117,15571751,0,0,0,0,0,271256,175604,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,4,64,28707800,20872649,0,114,114551,216462,0,314541,222262,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,4,64,38506644,19077900,0,0,0,0,0,674562,562669,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,4,64,30874487,19636124,0,0,0,0,0,442579,227090,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,5,64,36972708,24875661,0,59,131528,259690,0,393697,275603,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,5,64,46750444,22676332,0,0,0,0,0,728566,589865,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,5,64,84307762,23730652,0,0,0,0,0,1393491,287170,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,6,64,42775819,28865306,0,251,171810,299437,0,472001,329021,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,6,64,52982899,26327640,0,0,0,0,0,785256,617802,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,6,64,113199541,27828519,0,0,0,0,0,2178320,344951,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,7,64,46831363,33004240,0,78,264682,337297,0,553669,384241,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,7,64,56623566,29931078,0,0,0,0,0,833828,641164,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,7,64,150690929,32249406,0,0,0,0,0,2931521,415543,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,8,64,52838727,36977034,0,112,306677,377805,0,628373,436481,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,8,64,62734099,33508718,0,0,0,0,0,880977,664417,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,8,64,179045804,35953944,0,0,0,0,0,3538315,482778,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,9,64,58581750,40883567,0,564,328962,417887,0,703674,488250,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,9,64,68488918,37078340,0,0,0,0,0,937727,691785,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,9,64,204412374,39996239,0,0,0,0,0,4140249,554565,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,10,64,67181143,45099742,0,859,322390,460149,0,785451,543756,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,10,64,76732899,40697233,0,0,0,0,0,992617,716392,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,10,64,229749199,44057103,0,0,0,0,0,4711278,634482,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,11,64,73130157,49062492,0,222,397034,498555,0,866349,599041,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,11,64,82446550,44245139,0,0,0,0,0,1038742,738361,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,11,64,256986878,48102231,0,0,0,0,0,5264787,725593,"16 Fetch Unit, 4 Rank"
