Core,DB Size,DB Organization,Column Size,Num Columns,Row Size,Time(Cycles),InstRet,ctrl-trapper,fetch-ctrl,fetch-full,fetch-mem,req-fetch,llc-access,llc-out,Design
Boom Prefetch,27MB,rme,4,1,64,11592242,8913753,0,415511,4124,139,0,83552,61070,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,1,64,20417196,8437332,0,0,0,0,0,509032,477103,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,1,64,9527797,7540717,0,0,0,0,0,79683,60492,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,2,64,17898943,12887816,0,938607,694912,2683,0,159131,112977,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,2,64,26498805,11983472,0,0,0,0,0,566334,508294,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,2,64,15650221,11539678,0,0,0,0,0,175911,117808,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,3,64,26856650,16884175,0,1407321,959716,5848,0,238304,164811,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,3,64,34658757,15526696,0,0,0,0,0,621464,536838,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,3,64,24155821,15538752,0,0,0,0,0,274281,175497,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,4,64,36332613,20892233,0,1867073,1521656,8710,0,311744,214008,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,4,64,38510344,19072998,0,0,0,0,0,674672,562666,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,4,64,30839625,19608222,0,0,0,0,0,442693,226603,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,5,64,44387796,24884966,0,2347414,2252959,19103,0,375654,257149,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,5,64,46825931,22668514,0,0,0,0,0,731337,591078,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,5,64,84504162,23753564,0,0,0,0,0,1396492,287677,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,6,64,54227888,28879189,0,2802094,2284569,12869,0,464077,315398,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,6,64,52913593,26271051,0,0,0,0,0,785313,616627,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,6,64,113801440,27807536,0,0,0,0,0,2176411,343217,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,7,64,63350951,32870541,0,3264006,2687370,14594,0,546254,370240,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,7,64,56616487,29838065,0,0,0,0,0,836225,642522,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,7,64,149630366,31884177,0,0,0,0,0,2894399,411027,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,8,64,72486059,36993320,0,3729468,3076894,15095,0,619310,420818,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,8,64,62722888,33487728,0,0,0,0,0,881949,664183,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,8,64,177861479,35927799,0,0,0,0,0,3537259,482406,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,9,64,81360609,40925306,0,4195381,3475838,18584,0,696875,473545,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,9,64,68574582,37090493,0,0,0,0,0,941578,692069,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,9,64,204158668,39978420,0,0,0,0,0,4138810,554087,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,10,64,90478902,44867367,0,4663484,3836910,20408,0,773396,505338,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,10,64,76734452,40673156,0,0,0,0,0,995572,718081,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,10,64,229564817,44055053,0,0,0,0,0,4711737,633035,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,11,64,99942001,49109969,0,5129023,4232870,23996,0,856230,569137,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,11,64,82494418,44260489,0,0,0,0,0,1041591,739648,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,11,64,256808303,48113265,0,0,0,0,0,5270116,724935,"16 Fetch Unit, 4 Rank"
