Core,DB Size,DB Organization,Column Size,Num Columns,Row Size,Time(Cycles),InstRet,ctrl-trapper,fetch-ctrl,fetch-full,fetch-mem,req-fetch,llc-access,llc-out,Design
Boom Prefetch,27MB,rme,4,1,64,20491856,8919385,0,413828,0,1,0,77966,60177,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,1,64,33287304,8463756,0,0,0,0,0,510847,478923,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,1,64,10672381,7553073,0,0,0,0,0,74927,59764,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,2,64,36436967,12920691,0,825513,0,0,0,151575,106199,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,2,64,40181469,12004572,0,0,0,0,0,564624,509309,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,2,64,18217127,11532168,0,0,0,0,0,166439,114937,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,3,64,54031815,16932438,0,1243020,0,0,0,227883,163979,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,3,64,46590033,15552682,0,0,0,0,0,617901,536539,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,3,64,27761426,15537065,0,0,0,0,0,269732,171689,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,4,64,69053056,20960374,0,1656189,0,0,0,304232,204703,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,4,64,54599488,19092714,0,0,0,0,0,667352,561455,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,4,64,34872135,19620197,0,0,0,0,0,447918,226617,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,5,64,86601662,24956173,0,2073160,0,1,0,376750,265804,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,5,64,60813007,22684494,0,0,0,0,0,718546,588259,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,5,64,83285337,23744909,0,0,0,0,0,1389778,289418,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,6,64,101395653,28952066,0,2485260,0,0,0,448165,315686,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,6,64,65626498,26336728,0,0,0,0,0,767075,613246,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,6,64,112247595,27798319,0,0,0,0,0,2184835,351584,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,7,64,116762361,32966538,0,2899735,0,0,0,523005,371800,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,7,64,72049899,29858092,0,0,0,0,0,812521,637164,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,7,64,140123619,31861656,0,0,0,0,0,2888216,414604,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,8,64,133089936,37079752,0,3314210,0,0,0,597075,424098,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,8,64,78193686,33516131,0,0,0,0,0,857344,659605,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,8,64,164776218,35921642,0,0,0,0,0,3516219,481621,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,9,64,148481457,41034828,0,3729422,0,0,0,672230,476525,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,9,64,85996458,37111151,0,0,0,0,0,904055,682709,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,9,64,187633554,39952413,0,0,0,0,0,4125011,552733,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,10,64,164483666,44999177,0,4144288,0,1,0,742045,528607,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,10,64,92110901,40679513,0,0,0,0,0,945072,706756,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,10,64,211281653,44010579,0,0,0,0,0,4690875,633522,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,11,64,181421955,49387666,0,4559621,0,1,0,837000,585204,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,11,64,98235438,44286658,0,0,0,0,0,990054,727295,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,11,64,235629966,48069625,0,0,0,0,0,5252186,724646,"16 Fetch Unit, 4 Rank"
