Core,DB Size,DB Organization,Column Size,Num Columns,Row Size,Time(Cycles),RME Enabled,Design
Rocket,27MB,row,1 bytes,2,64,46051339,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,1 bytes,2,64,43462809,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,1 bytes,2,64,57190731,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,2 bytes,2,64,52096206,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,2 bytes,2,64,44843333,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,2 bytes,2,64,48671558,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,4 bytes,2,64,51542874,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,4 bytes,2,64,45048131,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,4 bytes,2,64,49538933,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,8 bytes,2,64,50341373,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,8 bytes,2,64,47802157,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,8 bytes,2,64,60707614,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,16 bytes,2,64,52317653,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,16 bytes,2,64,73207014,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,16 bytes,2,64,97119451,FALSE,"16 Fetch Unit, 4 Rank"
