bench, mem, temp, enabled_col_num, row_size, row_count, col_width, cycles, l1_references,     l1_refills, l2_references, l2_refills, inst_retired, time, stall_ctrl_trapper, stall_fetch_ctrl, stall_fetch_full,     stall_fetch_memory, stall_req_fetch
q1, r, c, 3, 64, 442368, 1, 23689426, 0, 0, 155110, 82594, 16982173, 23627000, 0, 1305606, 912093, 3980, 0
q1, d, -, 3, 64, 442368, 1, 34785567, 0, 0, 623264, 535843, 15624573,34788000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 1, 21738408, 0, 0, 166556, 82347, 15607747,21740000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 2, 24109578, 0, 0, 187247, 111437, 16879613, 24046000, 0, 1284748, 417545, 5386, 0
q1, d, -, 3, 64, 442368, 2, 34890004, 0, 0, 623550, 536230, 15549246,34892000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 2, 22618996, 0, 0, 209638, 116526, 15583601,22621000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 4, 25243203, 0, 0, 239316, 162269, 16894044, 25178000, 0, 1246597, 7209, 6648, 0
q1, d, -, 3, 64, 442368, 4, 34660598, 0, 0, 620698, 536500, 15533111,34663000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 4, 24191294, 0, 0, 272532, 175189, 15592346,24193000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 8, 27951926, 0, 0, 331960, 247125, 16887166, 27891000, 0, 1169534, 324, 3207, 0
q1, d, -, 3, 64, 442368, 8, 34663233, 0, 0, 621936, 536571, 15533116,34665000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 8, 27229404, 0, 0, 398538, 275693, 15616382,27231000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 16, 32521671, 0, 0, 510710, 413472, 16899635, 32458000, 0, 57027, 0, 3971, 0
q1, d, -, 3, 64, 442368, 16, 34910100, 0, 0, 624346, 536643, 15541551,34912000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 16, 33047512, 0, 0, 631128, 456711, 15582540,33049000, 0, 0, 0, 0, 0
