bench, mem, temp, enabled_col_num, row_size, row_count, col_width, cycles, l1_references,     l1_refills, l2_references, l2_refills, inst_retired, time, stall_ctrl_trapper, stall_fetch_ctrl, stall_fetch_full,     stall_fetch_memory, stall_req_fetch
q1, r, c, 1, 64, 442368, 4, 11119783, 0, 0, 83513, 61647, 8916785, 11053000, 0, 414543, 2225, 117, 0
q1, d, -, 1, 64, 442368, 4, 20432711, 0, 0, 509268, 477684, 8435282,20435000, 0, 0, 0, 0, 0
q1, c, -, 1, 64, 442368, 4, 9548371, 0, 0, 79818, 60719, 7540183,9550000, 0, 0, 0, 0, 0
q1, r, c, 2, 64, 442368, 4, 17254493, 0, 0, 161557, 114822, 12905432, 17186000, 0, 855830, 34906, 325, 0
q1, d, -, 2, 64, 442368, 4, 26471048, 0, 0, 565049, 508732, 11977016,26474000, 0, 0, 0, 0, 0
q1, c, -, 2, 64, 442368, 4, 15588737, 0, 0, 173780, 117535, 11531659,15590000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 4, 25993121, 0, 0, 240422, 166366, 16896387, 25917000, 0, 1276267, 38883, 323, 0
q1, d, -, 3, 64, 442368, 4, 34687011, 0, 0, 621740, 537378, 15531635,34689000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 4, 24184076, 0, 0, 272928, 175888, 15532649,24186000, 0, 0, 0, 0, 0
q1, r, c, 4, 64, 442368, 4, 31838782, 0, 0, 315737, 214095, 20886753, 31774000, 0, 1875388, 1574607, 16800, 0
q1, d, -, 4, 64, 442368, 4, 38570037, 0, 0, 676659, 563770, 19073190,38572000, 0, 0, 0, 0, 0
q1, c, -, 4, 64, 442368, 4, 30891282, 0, 0, 444436, 228016, 19622913,30893000, 0, 0, 0, 0, 0
q1, r, c, 5, 64, 442368, 4, 39739512, 0, 0, 393142, 268659, 24880520, 39673000, 0, 2343825, 1829836, 12161, 0
q1, d, -, 5, 64, 442368, 4, 46825032, 0, 0, 729705, 591314, 22660968,46828000, 0, 0, 0, 0, 0
q1, c, -, 5, 64, 442368, 4, 84016933, 0, 0, 1396927, 289795, 23757259,84018000, 0, 0, 0, 0, 0
q1, r, c, 6, 64, 442368, 4, 47447632, 0, 0, 469139, 319056, 28859385, 47381000, 0, 2813106, 2351417, 15786, 0
q1, d, -, 6, 64, 442368, 4, 52982204, 0, 0, 784652, 618839, 26308467,52984000, 0, 0, 0, 0, 0
q1, c, -, 6, 64, 442368, 4, 117054760, 0, 0, 2191663, 344944, 27811157,117055000, 0, 0, 0, 0, 0
q1, r, c, 7, 64, 442368, 4, 55918487, 0, 0, 538694, 373358, 32860088, 55849000, 0, 3268118, 2662577, 18891, 0
q1, d, -, 7, 64, 442368, 4, 56585827, 0, 0, 834822, 644045, 29820067,56588000, 0, 0, 0, 0, 0
q1, c, -, 7, 64, 442368, 4, 149904185, 0, 0, 2891608, 411905, 31878336,149905000, 0, 0, 0, 0, 0
q1, r, c, 8, 64, 442368, 4, 64301287, 0, 0, 619798, 426476, 36972241, 64234000, 0, 3734138, 3050041, 23487, 0
q1, d, -, 8, 64, 442368, 4, 62768406, 0, 0, 881468, 665744, 33489117,62770000, 0, 0, 0, 0, 0
q1, c, -, 8, 64, 442368, 4, 179216760, 0, 0, 3539572, 482597, 35955608,179218000, 0, 0, 0, 0, 0
q1, r, c, 9, 64, 442368, 4, 72056334, 0, 0, 688407, 473133, 40900564, 71988000, 0, 4199327, 3422355, 27528, 0
q1, d, -, 9, 64, 442368, 4, 68470253, 0, 0, 936368, 693896, 37077490,68471000, 0, 0, 0, 0, 0
q1, c, -, 9, 64, 442368, 4, 204481832, 0, 0, 4138669, 555011, 39985401,204483000, 0, 0, 0, 0, 0
q1, r, c, 10, 64, 442368, 4, 79709206, 0, 0, 765538, 515912, 44872814, 79642000, 0, 4669781, 3825096, 28090, 0
q1, d, -, 10, 64, 442368, 4, 76663260, 0, 0, 991133, 718754, 40647961,76664000, 0, 0, 0, 0, 0
q1, c, -, 10, 64, 442368, 4, 230228847, 0, 0, 4711765, 634208, 44036539,230229000, 0, 0, 0, 0, 0
q1, r, c, 11, 64, 442368, 4, 88592883, 0, 0, 851321, 575110, 49116607, 88529000, 0, 5134973, 4191090, 27864, 0
q1, d, -, 11, 64, 442368, 4, 82494069, 0, 0, 1038410, 738042, 44260488,82496000, 0, 0, 0, 0, 0
q1, c, -, 11, 64, 442368, 4, 256822558, 0, 0, 5266885, 724698, 48092770,256824000, 0, 0, 0, 0, 0
