bench, mem, temp, enabled_col_num, row_size, row_count, col_width, cycles, l1_references,     l1_refills, l2_references, l2_refills, inst_retired, time, stall_ctrl_trapper, stall_fetch_ctrl, stall_fetch_full, stall_fetch_memory, stall_req_fetch
q1, r, c, 1, 64, 442368, 4, 13662466, 0, 0, 76239, 59898, 8906909, 13603000, 0, 0, 0, 92366, 0
q1, d, -, 1, 64, 442368, 4, 33287010, 0, 0, 510741, 479003, 8463322,33289000, 0, 0, 0, 0, 0
q1, c, -, 1, 64, 442368, 4, 10705315, 0, 0, 74811, 60183, 7556829,10706000, 0, 0, 0, 0, 0
q1, r, c, 2, 64, 442368, 4, 22827765, 0, 0, 149365, 112270, 12896836, 22770000, 0, 0, 0, 137547, 0
q1, d, -, 2, 64, 442368, 4, 40167576, 0, 0, 564642, 508913, 12003369,40170000, 0, 0, 0, 0, 0
q1, c, -, 2, 64, 442368, 4, 18232239, 0, 0, 166522, 115280, 11537176,18234000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 4, 33801435, 0, 0, 222169, 164553, 16895180, 33744000, 0, 0, 0, 178360, 0
q1, d, -, 3, 64, 442368, 4, 46584859, 0, 0, 616525, 536620, 15551231,46587000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 4, 27709468, 0, 0, 266972, 172304, 15537731,27711000, 0, 0, 0, 0, 0
q1, r, c, 4, 64, 442368, 4, 42005834, 0, 0, 296327, 217339, 20907190, 41952000, 0, 0, 0, 218924, 0
q1, d, -, 4, 64, 442368, 4, 54727571, 0, 0, 669801, 562940, 19110388,54730000, 0, 0, 0, 0, 0
q1, c, -, 4, 64, 442368, 4, 34912151, 0, 0, 449536, 227796, 19609076,34914000, 0, 0, 0, 0, 0
q1, r, c, 5, 64, 442368, 4, 52375262, 0, 0, 368958, 268729, 24898395, 52318000, 0, 0, 0, 259662, 0
q1, d, -, 5, 64, 442368, 4, 60818624, 0, 0, 719108, 587168, 22657078,60819000, 0, 0, 0, 0, 0
q1, c, -, 5, 64, 442368, 4, 85260782, 0, 0, 1398201, 290912, 23729256,85262000, 0, 0, 0, 0, 0
q1, r, c, 6, 64, 442368, 4, 60747238, 0, 0, 436935, 319822, 28888420, 60689000, 0, 0, 0, 299504, 0
q1, d, -, 6, 64, 442368, 4, 65689118, 0, 0, 768277, 613701, 26342540,65691000, 0, 0, 0, 0, 0
q1, c, -, 6, 64, 442368, 4, 110302994, 0, 0, 2180963, 351341, 27794867,110304000, 0, 0, 0, 0, 0
q1, r, c, 6, 64, 442368, 4, 60747238, 0, 0, 436935, 319822, 28888420, 60689000, 0, 0, 0, 299504, 0
q1, d, -, 6, 64, 442368, 4, 65689118, 0, 0, 768277, 613701, 26342540,65691000, 0, 0, 0, 0, 0
q1, c, -, 6, 64, 442368, 4, 110302994, 0, 0, 2180963, 351341, 27794867,110304000, 0, 0, 0, 0, 0
q1, r, c, 8, 64, 442368, 4, 78735519, 0, 0, 586198, 425435, 37002376, 78677000, 0, 1, 0, 381842, 0
q1, d, -, 8, 64, 442368, 4, 78155383, 0, 0, 853285, 659788, 33525820,78157000, 0, 0, 0, 0, 0
q1, c, -, 8, 64, 442368, 4, 164785102, 0, 0, 3525547, 481420, 35925822,164787000, 0, 0, 0, 0, 0
q1, r, c, 9, 64, 442368, 4, 87624166, 0, 0, 653788, 476684, 40933903, 87565000, 0, 1, 0, 420912, 0
q1, d, -, 9, 64, 442368, 4, 85925727, 0, 0, 898637, 682994, 37089194,85927000, 0, 0, 0, 0, 0
q1, c, -, 9, 64, 442368, 4, 187803296, 0, 0, 4119262, 553988, 39968382,187804000, 0, 0, 0, 0, 0
q1, r, c, 10, 64, 442368, 4, 97562764, 0, 0, 724129, 529782, 44896334, 97504000, 0, 0, 0, 464453, 0
q1, d, -, 10, 64, 442368, 4, 92045652, 0, 0, 942523, 706519, 40675909,92047000, 0, 0, 0, 0, 0
q1, c, -, 10, 64, 442368, 4, 211602924, 0, 0, 4689563, 633050, 44019517,211604000, 0, 0, 0, 0, 0
