bench, mem, temp, enabled_col_num, row_size, row_count, col_width, cycles, l1_references,     l1_refills, l2_references, l2_refills, inst_retired, time, stall_ctrl_trapper, stall_fetch_ctrl, stall_fetch_full,     stall_fetch_memory, stall_req_fetch
q1, r, c, 1, 64, 442368, 4, 16665435, 0, 0, 77568, 60143, 8912682, 16602000, 0, 411053, 0, 4324, 0
q1, d, -, 1, 64, 442368, 4, 33234709, 0, 0, 509957, 478124, 8454920,33238000, 0, 0, 0, 0, 0
q1, c, -, 1, 64, 442368, 4, 10653376, 0, 0, 74497, 59464, 7547325,10654000, 0, 0, 0, 0, 0
q1, r, c, 2, 64, 442368, 4, 28886391, 0, 0, 151237, 112665, 12911531, 28822000, 0, 825748, 0, 11493, 0
q1, d, -, 2, 64, 442368, 4, 40265235, 0, 0, 566974, 510087, 12020246,40268000, 0, 0, 0, 0, 0
q1, c, -, 2, 64, 442368, 4, 18213700, 0, 0, 167161, 114764, 11530971,18215000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 4, 42734571, 0, 0, 225217, 157196, 16908865, 42672000, 0, 1241630, 0, 6765, 0
q1, d, -, 3, 64, 442368, 4, 46567144, 0, 0, 616974, 535924, 15551175,46569000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 4, 27724637, 0, 0, 268106, 170635, 15546242,27725000, 0, 0, 0, 0, 0
q1, r, c, 4, 64, 442368, 4, 53734476, 0, 0, 298861, 217103, 20926495, 53671000, 0, 1657512, 0, 12656, 0
q1, d, -, 4, 64, 442368, 4, 54605661, 0, 0, 667799, 561167, 19092833,54608000, 0, 0, 0, 0, 0
q1, c, -, 4, 64, 442368, 4, 34833275, 0, 0, 447991, 226075, 19606144,34834000, 0, 0, 0, 0, 0
q1, r, c, 5, 64, 442368, 4, 67125023, 0, 0, 372590, 260291, 24923132, 67061000, 0, 2071865, 0, 9377, 0
q1, d, -, 5, 64, 442368, 4, 60790472, 0, 0, 718039, 587513, 22684617,60793000, 0, 0, 0, 0, 0
q1, c, -, 5, 64, 442368, 4, 83290566, 0, 0, 1392614, 288985, 23738678,83292000, 0, 0, 0, 0, 0
q1, r, c, 6, 64, 442368, 4, 78532099, 0, 0, 445080, 306156, 28923326, 78468000, 0, 2487640, 0, 10341, 0
q1, d, -, 6, 64, 442368, 4, 65688200, 0, 0, 768952, 613863, 26347412,65691000, 0, 0, 0, 0, 0
q1, c, -, 6, 64, 442368, 4, 108121461, 0, 0, 2175920, 351742, 27794078,108122000, 0, 0, 0, 0, 0
q1, r, c, 7, 64, 442368, 4, 90243961, 0, 0, 514309, 357893, 32900909, 90180000, 0, 2900242, 0, 16328, 0
q1, d, -, 7, 64, 442368, 4, 72013383, 0, 0, 812765, 634694, 29854096,72016000, 0, 0, 0, 0, 0
q1, c, -, 7, 64, 442368, 4, 140103169, 0, 0, 2890171, 413413, 31851216,140105000, 0, 0, 0, 0, 0
q1, r, c, 8, 64, 442368, 4, 102756190, 0, 0, 595525, 425350, 37047348, 102692000, 0, 3315223, 0, 31593, 0
q1, d, -, 8, 64, 442368, 4, 78238381, 0, 0, 859514, 657953, 33521553,78239000, 0, 0, 0, 0, 0
q1, c, -, 8, 64, 442368, 4, 163679399, 0, 0, 3520277, 479989, 35905702,163681000, 0, 0, 0, 0, 0
q1, r, c, 9, 64, 442368, 4, 113960945, 0, 0, 664398, 476084, 40988560, 113898000, 0, 3730075, 0, 32800, 0
q1, d, -, 9, 64, 442368, 4, 85915593, 0, 0, 900731, 681836, 37102138,85917000, 0, 0, 0, 0, 0
q1, c, -, 9, 64, 442368, 4, 187677437, 0, 0, 4117655, 552048, 39953685,187678000, 0, 0, 0, 0, 0
q1, r, c, 10, 64, 442368, 4, 126972955, 0, 0, 736332, 527594, 44927576, 126910000, 0, 4144204, 0, 22073, 0
q1, d, -, 10, 64, 442368, 4, 92163822, 0, 0, 948382, 704587, 40686914,92165000, 0, 0, 0, 0, 0
q1, c, -, 10, 64, 442368, 4, 211311559, 0, 0, 4700113, 633435, 44041693,211313000, 0, 0, 0, 0, 0
q1, r, c, 11, 64, 442368, 4, 139318770, 0, 0, 814338, 564787, 49161523, 139253000, 0, 4559295, 0, 15986, 0
q1, d, -, 11, 64, 442368, 4, 98111610, 0, 0, 986114, 724969, 44280605,98113000, 0, 0, 0, 0, 0
q1, c, -, 11, 64, 442368, 4, 235059909, 0, 0, 5246794, 722770, 48087816,235061000, 0, 0, 0, 0, 0
